author,follower_ct,friends_count,favourites_count,verified
14630267,10943,1815,3109,True
1214291324,141,174,0,False
159655293,6113,1185,2652,True
274294142,6419,6267,153,False
22869375,5325,5753,32834,False
106317376,2029,2273,0,False
461677954,2110,1495,0,False
77863147,6153,6185,1,False
237337988,149,326,13,False
18640261,5650,6131,3,False
626503046,19729,21646,536,False
92304777,4075,4238,121,False
3424060462,23,7,0,False
123174284,698,2358,223,False
1858741826,63,63,0,False
4751365518,146,66,1599,False
4659230096,,,,
3020656017,1295,1740,24,False
3901617556,39,176,0,False
1214270556,,,,
4042851734,512,93,2,False
472679832,226,1979,4,False
4746371652,485,2,49,False
295725826,66,82,1,False
16672155,827,2008,52,False
35009948,1355,1432,0,False
141938077,4650,4825,24617,False
23064628,611,1180,4,False
4703251872,81,43,0,False
45278448,1379,1849,526,False
18082945,39532,42615,52221,False
2707584582,2093,2093,3,False
274517122,17192,16306,1047,False
214443431,10,212,456,False
973544874,823,934,0,False
69049771,2565,1061,529,False
2475599276,5697,3856,78587,False
2939497901,2316,175,5,False
2274839983,295,6,3,False
961584560,372,665,2,False
21563711,1889,1873,7986,False
783046681,1033,2012,14187,False
4516752821,1591,1239,4615,False
264025526,2318,2348,364,True
41508279,281,31,21,False
345636282,306,115,36,False
340330058,4591,4750,14794,False
17243582,109881,4044,4173,True
625452480,78,103,0,False
4426507168,996,1218,0,False
139644354,248,1258,795,False
18772897,16817,1353,70,True
26887881,2593,0,0,False
217299191,268,412,0,False
721661942591524864,24,10,0,False
537553485,13273,14271,3923,False
55037392,40,25,0,False
309205240,2957,2873,6383,False
759251,25431485,1119,1392,True
3803497941,53,15,4,False
2868100566,804,1230,0,False
1638430969,234,83,197,False
2300505560,1165,1647,9013,False
79042009,39,14,389,False
32517594,13097,11831,2612,False
3020692409,1447,1555,72,False
17468666,2900,4986,33792,False
225861086,9222,428,317,False
18159073,1608,490,0,False
43797990,1181,926,2494,False
1485880807,789,314,1344,False
138147304,183,32,0,False
73448937,31608,27409,3167,False
188526058,282,539,3520,False
71575019,809,922,331,True
22707692,1305,2260,12247,False
16242158,611,22,6,False
229575933,1642,1947,478,False
973526952,713,645,1,False
20276998,22124,264,2020,True
293012979,6500,522,52,True
12004852,5288,2996,53542,False
1595026933,58,761,0,False
1214295542,,,,
22924791,2020,2047,333,False
14345812,6581,704,86,True
4212880639,66,43,0,False
21659132,1568,2467,3094,False
279240189,78,51,15,False
18400766,199,331,383,False
3108351,11080471,1062,1296,True
2823283968,520,273,12,False
446291458,35408,10938,200086,False
3525238277,,,,
4369315334,6,40,0,False
582140844,5210,5491,2643,False
15560202,1605,1805,49990,False
